LOC_ID                          CLUSTER             P_VALUE             RECURR_INT          CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
26065                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       675                 632.49              1.07                1.07                35088728.00         42.597169           -84.374721          F 
26139                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       666                 631.24              1.06                1.06                35019608.00         42.959968           -85.996911          F 
26081                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       3201                1421.02             2.25                2.26                78834624.00         43.031977           -85.549346          F 
18179                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       21                  61.21               0.34                0.34                3395520.00          40.729342           -85.221330          F 
18103                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       134                 76.82               1.74                1.74                4261920.00          40.769410           -86.045250          F 
39069                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       12                  58.42               0.21                0.21                3240720.00          41.333964           -84.068306          F 
26037                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       156                 172.17              0.91                0.91                9551400.00          42.944009           -84.601452          F 
18127                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       416                 368.56              1.13                1.13                20446660.00         41.459869           -87.068489          F 
18131                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       38                  26.72               1.42                1.42                1482360.00          41.041661           -86.698907          F 
18001                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       12                  77.39               0.16                0.16                4293240.00          40.745765           -84.936714          F 
39161                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       5                   61.16               0.082               0.082               3393000.00          40.855414           -84.591117          F 
26161                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       1302                795.14              1.64                1.64                44112048.00         42.253105           -83.838532          F 
18017                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       1566                81.52               19.21               19.23               4522680.00          40.761358           -86.348308          F 
39137                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       85                  73.24               1.16                1.16                4063320.00          41.020949           -84.133611          F 
26093                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       445                 415.29              1.07                1.07                23039432.00         42.603023           -83.912972          F 
18053                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       165                 142.26              1.16                1.16                7892280.00          40.515872           -85.654687          F 
26117                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       63                  138.19              0.46                0.46                7666560.00          43.310825           -85.152528          F 
39095                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       1986                926.54              2.14                2.14                51401760.00         41.621012           -83.654686          F 
18009                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       17                  25.43               0.67                0.67                1410960.00          40.473882           -85.324997          F 
26121                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       530                 375.43              1.41                1.41                20827920.00         43.291239           -86.151767          F 
26155                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       264                 147.35              1.79                1.79                8174640.00          42.953928           -84.145859          F 
18089                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       2993                1050.14             2.85                2.85                58259076.00         41.418743           -87.382776          F 
26115                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       457                 325.54              1.40                1.40                18060000.00         41.927342           -83.537499          F 
18073                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       75                  72.60               1.03                1.03                4027440.00          41.020787           -87.115533          F 
18067                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       330                 178.55              1.85                1.85                9905280.00          40.485277           -86.113519          F 
39173                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       251                 282.96              0.89                0.89                15698040.00         41.362248           -83.622851          F 
18075                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       33                  44.20               0.75                0.75                2452320.00          40.437810           -85.005762          F 
39107                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       161                 89.06               1.81                1.81                4940640.00          40.540430           -84.629127          F 
26057                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       67                  88.06               0.76                0.76                4885320.00          43.292656           -84.605054          F 
18181                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       189                 52.13               3.63                3.63                2892240.00          40.749112           -86.864920          F 
18015                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       82                  43.82               1.87                1.87                2430840.00          40.580783           -86.561988          F 
39003                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       178                 221.39              0.80                0.80                12282120.00         40.772852           -84.108023          F 
18159                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       19                  32.77               0.58                0.58                1817760.00          40.311233           -86.052349          F 
26123                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       68                  105.95              0.64                0.64                5877600.00          43.554374           -85.800701          F 
39063                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       48                  163.92              0.29                0.29                9093960.00          41.002505           -83.668389          F 
39011                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       57                  98.76               0.58                0.58                5478720.00          40.559989           -84.224214          F 
